level,group,genre,measure,n_months,spearman_trend,p,first_month_value,last_full_month_value
creator,@Firstpost,streams,F6_controlled,9,0.383,0.3085,0.5072,0.7702
creator,@Firstpost,streams,F7_controlled,9,-0.6,0.0876,-0.5584,-0.747
creator,@Firstpost,streams,F8_controlled,9,0.55,0.125,0.622,0.5792
creator,@Firstpost,streams,F9_controlled,9,0.817,0.0072,-1.3225,-1.1647
creator,@Firstpost,streams,F10_controlled,9,0.867,0.0025,-0.248,0.6611
creator,@Firstpost,streams,F11_controlled,9,-0.383,0.3085,0.0013,-0.2895
creator,@Firstpost,streams,F12_controlled,9,0.433,0.244,0.5478,1.127
creator,@Firstpost,streams,curiosity_gap,9,-0.067,0.8647,0.032,0.0303
creator,@Firstpost,streams,outrage,9,0.167,0.6682,0.4354,0.5694
creator,@Firstpost,streams,humor,9,0.139,0.7221,0.0,0.0
creator,@Firstpost,videos,F1_controlled,9,-0.383,0.3085,-0.0601,-0.3226
creator,@Firstpost,videos,F2_controlled,9,0.933,0.0002,-1.0085,-0.4404
creator,@Firstpost,videos,F3_controlled,9,0.467,0.2054,-0.2516,-0.1779
creator,@Firstpost,videos,F4_controlled,9,0.95,0.0001,-0.1858,-0.0697
creator,@Firstpost,videos,F5_controlled,9,0.75,0.0199,-0.0313,0.4509
creator,@Firstpost,videos,F6_controlled,9,0.883,0.0016,0.2476,0.6824
creator,@Firstpost,videos,F7_controlled,9,-0.6,0.0876,-0.1666,-0.2893
creator,@Firstpost,videos,F8_controlled,9,0.817,0.0072,0.6265,1.6848
creator,@Firstpost,videos,F9_controlled,9,-0.15,0.7001,-0.2645,-0.2719
creator,@Firstpost,videos,F10_controlled,9,0.8,0.0096,0.0758,0.4155
creator,@Firstpost,videos,F11_controlled,9,-0.35,0.3558,0.3735,0.2959
creator,@Firstpost,videos,F12_controlled,9,-0.833,0.0053,1.1662,0.9725
creator,@Firstpost,videos,curiosity_gap,9,0.633,0.0671,0.0205,0.0294
creator,@Firstpost,videos,outrage,9,0.667,0.0499,0.3952,0.4683
creator,@Firstpost,videos,humor,9,-0.621,0.0744,0.0011,0.0
creator,@FoxNews,streams,F1_controlled,9,-0.217,0.5755,0.5657,-0.0596
creator,@FoxNews,streams,F2_controlled,9,0.3,0.4328,0.2343,0.4086
creator,@FoxNews,streams,F3_controlled,9,-0.717,0.0298,-0.3097,-0.5967
creator,@FoxNews,streams,F4_controlled,9,-0.683,0.0424,-0.2956,-0.5754
creator,@FoxNews,streams,F5_controlled,9,-0.633,0.0671,-0.2985,-0.5384
creator,@FoxNews,streams,F6_controlled,9,0.0,1.0,-0.1103,0.0267
creator,@FoxNews,streams,F7_controlled,9,0.383,0.3085,1.6425,1.9749
creator,@FoxNews,streams,F8_controlled,9,0.617,0.0769,-0.1619,0.3423
creator,@FoxNews,streams,F9_controlled,9,-0.083,0.8312,-0.7795,-0.7889
creator,@FoxNews,streams,F10_controlled,9,-0.25,0.5165,-0.5732,-0.7084
creator,@FoxNews,streams,F11_controlled,9,-0.433,0.244,-0.4206,-0.8905
creator,@FoxNews,streams,F12_controlled,9,-0.167,0.6682,0.1606,-0.1279
creator,@FoxNews,streams,curiosity_gap,9,-0.47,0.2017,0.0085,0.0
creator,@FoxNews,streams,outrage,9,-0.333,0.3807,0.2627,0.0462
creator,@FoxNews,streams,humor,9,,,0.0,0.0
creator,@FoxNews,videos,F1_controlled,9,-0.683,0.0424,0.4375,0.2315
creator,@FoxNews,videos,F2_controlled,9,-0.767,0.0159,0.5924,0.1882
creator,@FoxNews,videos,F3_controlled,9,-0.783,0.0125,0.593,0.4458
creator,@FoxNews,videos,F4_controlled,9,-0.517,0.1544,0.2369,-0.0075
creator,@FoxNews,videos,F5_controlled,9,-0.8,0.0096,-0.1053,-0.3111
creator,@FoxNews,videos,F6_controlled,9,0.15,0.7001,-0.8889,-0.6779
creator,@FoxNews,videos,F7_controlled,9,0.667,0.0499,0.9043,1.0051
creator,@FoxNews,videos,F8_controlled,9,-0.183,0.6368,-0.2413,-0.2249
creator,@FoxNews,videos,F9_controlled,9,0.7,0.0358,0.135,0.422
creator,@FoxNews,videos,F10_controlled,9,-0.567,0.1116,1.3673,0.7108
creator,@FoxNews,videos,F11_controlled,9,0.033,0.9322,-0.3857,-0.4146
creator,@FoxNews,videos,F12_controlled,9,0.767,0.0159,-0.3154,-0.1012
creator,@FoxNews,videos,curiosity_gap,9,-0.867,0.0025,0.0244,0.0113
creator,@FoxNews,videos,outrage,9,-0.083,0.8312,0.5877,0.5425
creator,@FoxNews,videos,humor,9,-0.4,0.2861,0.0043,0.0041
creator,@FoxNewsChannelClips,videos,F1_controlled,9,-0.667,0.0499,0.7941,0.1839
creator,@FoxNewsChannelClips,videos,F2_controlled,9,-0.133,0.7324,0.7925,0.3738
