word,balanced_share_of_titles,creators_using,raw_pooled_share_of_titles,raw_titles,rank_balanced,rank_raw
doj,0.006954356808377532,101,0.008390749147524626,2035,70,63
crisis,0.006950390395092532,153,0.009029847976942963,2190,71,55
let,0.006923751179302123,130,0.005191131782178626,1259,72,173
finally,0.006905931523512112,159,0.004514923988471481,1095,73,228
want,0.006858946128203595,171,0.004766440301984505,1156,74,205
reveals,0.0068272083796734745,139,0.007417669639507028,1799,75,82
worse,0.006796084297676015,154,0.003447010460604711,836,76,357
shooting,0.006777303319518169,143,0.010419372528646059,2527,77,39
americans,0.00677040233237103,142,0.007397053548235469,1794,78,83
oil,0.006637367390097574,126,0.013326241397935918,3232,79,27
speech,0.006635225879243825,156,0.007281603437114737,1766,80,87
graham,0.006606879910991418,154,0.005966296813989255,1447,81,134
case,0.006579885688732386,151,0.00895563004836535,2172,82,57
wrong,0.006529176787707471,168,0.003228479893126183,783,83,388
getting,0.006507597851650136,163,0.003768621484441036,914,84,307
joe,0.006462794070875802,139,0.00451080077021717,1094,85,229
gop,0.006407451590430841,110,0.010151363342115789,2462,86,41
party,0.0063474739339743815,156,0.005549851770303757,1346,87,160
bad,0.0063468654314130174,162,0.004366488131316255,1059,88,239
donald,0.00631953808053562,100,0.005591083952846876,1356,89,157
caught,0.006176714196161787,140,0.00502207983375184,1218,90,183
fight,0.006157517038481648,155,0.006254922091791085,1517,91,117
history,0.006152178697622094,152,0.004139711127329103,1004,92,263
men,0.0060467531316566675,126,0.003306821039958108,802,93,372
ukraine,0.005989881361400402,88,0.013940600917828384,3381,94,23
fraud,0.005973765020531143,139,0.006197197036230719,1503,95,122
stop,0.005907723461951362,170,0.00508805132582083,1234,96,177
life,0.005862403548994484,160,0.004679852718643956,1135,97,215
uk,0.005847950098057665,130,0.009157667742826631,2221,98,51
explains,0.005826078098372697,135,0.004461322151165428,1082,99,232
know,0.005813345149885394,158,0.006217813127502278,1508,100,120
democrat,0.005731851084115419,120,0.004609758008320654,1118,101,223
won't,0.005655791300389254,160,0.004791179611510376,1162,102,203
russia,0.005650809403927584,94,0.016678417838691454,4045,103,14
massive,0.005618797983482447,131,0.009116435560283513,2211,104,52
economy,0.005607166202513463,127,0.004634497317846526,1124,105,219
political,0.0055995355100825345,144,0.004716961682932763,1144,106,209
shocking,0.005579126594181953,121,0.005149899599635507,1249,107,175
israeli,0.005575341776568432,91,0.008060891687179678,1955,108,72
attacks,0.005572237458281494,147,0.009268994635693051,2248,109,49
strikes,0.00555737309699536,115,0.01673614289425182,4059,110,13
