left_creator,right_creator,distance,distance_percentile_all_pairs
@PTLRadioShow,@nypost,2.143573586450888,3.8293650793650795
@TheAtlantic,@BenShapiro,2.1461731696521844,3.8571428571428568
@thomhartmann,@CamHigby,2.1472213152667647,3.869047619047619
@TheMichaelCohenShow,@winston_marshall,2.149804752889097,3.888888888888889
@TheLincolnProject,@lizwheeler,2.15063209266306,3.9047619047619047
@EzraKleinShow,@RileyGaines,2.1508572289792625,3.916666666666667
@OwenReport,@chicksonright,2.15106316595485,3.9246031746031744
https://rumble.com/c/GGreenwald,@FreshFitMiami,2.15272707847475,3.932539682539683
@TheMajorityReport,@JustPearlyThings,2.153436771321137,3.9365079365079367
@Xanderhal,@ZubyMusic,2.154089869008298,3.9404761904761907
@EzraKleinShow,@StevenCrowder,2.157454547787083,3.9563492063492065
@GlennKirschner2,@clayandbuck,2.1592578095555903,3.9722222222222223
@TheDonLemonShow,@RubinReport,2.162025218407873,4.0
https://rumble.com/c/GGreenwald,@fightbackpodcast,2.162067181632056,4.003968253968254
@underthedesknews,@nypost,2.16534028168384,4.0396825396825395
@TheYoungTurks,@winston_marshall,2.1687270008985977,4.063492063492063
@chriscuomo,@StevenCrowder,2.169474807579335,4.067460317460317
@DropSiteNews,@AlexStein99,2.1696257486049175,4.071428571428572
@PTLRadioShow,@oann,2.172551335410813,4.087301587301587
@PTLRadioShow,@RileyGaines,2.1729260829733104,4.099206349206349
@podsaveamerica,@marklevinshow,2.173505920063989,4.115079365079366
@NYTPodcasts,@RealDanBongino,2.173935223668103,4.119047619047619
@LegalEagle,@ThePodcastoftheLotusEaters,2.1741251853578265,4.1269841269841265
@OwenReport,@fightbackpodcast,2.1744582569105875,4.130952380952381
@katiephangnews,@TheOfficerTatum,2.1745634992128884,4.134920634920635
@TheJoyReidShow,@JesseKellyDC,2.176881982527038,4.142857142857142
