creator,channel_name,platform,lane,organisation,clipper,subscribers,n_videos,n_streams,low_n_videos,low_n_streams,note,status
@NYTOpinion,New York Times Opinion,youtube,us_press_print_digital,New York Times,False,184000.0,29,0,True,True,,proposed
@NYTPodcasts,New York Times Podcasts,youtube,us_press_print_digital,New York Times,False,523000.0,481,0,False,True,,proposed
@NewsNation,NewsNation,youtube,us_legacy_tv,NewsNation,False,2760000.0,7372,302,False,False,,proposed
@NewsmaxTV,Newsmax,youtube,right_tv_network,Newsmax,False,2590000.0,3944,399,False,False,,proposed
@NickCruseRBN,Nick Cruse,youtube,left_commentary,Revolutionary Blackout Network,False,10400.0,23,103,True,False,,proposed
@NickShirley,Nick Shirley,youtube,right_commentary,Nick Shirley,False,2000000.0,32,13,True,True,IRL confrontation videos,proposed
@NovaraMedia,Novara Media,youtube,independent_digital_news,Novara Media,False,1320000.0,585,4,False,True,UK left,proposed
@OfficialFlagrant,FLAGRANT,youtube,humour_satire,Flagrant,False,1990000.0,35,0,True,True,comedy podcast,proposed
@OfficialSaharTV,SaharTV,youtube,right_commentary,Sahar TV,False,785000.0,893,2,False,True,"religion debates, UK",proposed
@OutKick,OutKick,youtube,right_commentary,Fox Corporation,False,1740000.0,51,0,False,True,sports & culture (Fox-owned),proposed
@OwenJonesTalks,Owen Jones,youtube,left_commentary,Owen Jones,False,881000.0,233,0,False,True,UK,proposed
@OwenReport,Owen Report,youtube,right_commentary,Owen Shroyer,False,72100.0,388,178,False,False,,proposed
@PBDPodcast,PBD Podcast,youtube,interview_podcast,Valuetainment,False,2970000.0,38,118,True,False,right-leaning,proposed
@POLITICO,POLITICO,youtube,us_press_print_digital,Politico,False,225000.0,295,0,False,True,,proposed
@PTLRadioShow,Pushing The Limits,youtube,left_commentary,Pushing the Limits,False,212000.0,1684,201,False,False,streams,proposed
@PartOfTheProblem,Dave Smith,youtube,right_commentary,Dave Smith,False,521000.0,103,0,False,True,libertarian / anti-war,proposed
@PerunAU,Perun,youtube,explainer_geopolitics,Perun,False,641000.0,37,0,True,True,defence economics,proposed
@PhillipScottPodcast,Phillip Scott Podcast,youtube,left_commentary,Phillip Scott,False,202000.0,7,153,True,False,streams only,proposed
@PiersMorganUncensored,Piers Morgan Uncensored,youtube,interview_podcast,Piers Morgan,False,4460000.0,181,0,False,True,debate / interview show,proposed
@PiscoLitty,Pisco,youtube,streamer_reaction,Pisco,False,30100.0,56,0,False,True,"lawyer / debate streamer, left",proposed
@Politicon,Politicon,youtube,interview_podcast,Politicon,False,485000.0,496,1,False,True,,proposed
@PoliticsGirl,PoliticsGirl,youtube,left_commentary,PoliticsGirl,False,505000.0,116,0,False,True,,proposed
@PoliticsJOE,PoliticsJOE,youtube,independent_digital_news,PoliticsJOE,False,772000.0,339,0,False,True,UK,proposed
@PragerU,PragerU,youtube,right_commentary,PragerU,False,3470000.0,385,31,False,True,educational format,proposed
@PrisonPlanetLive,Paul Joseph Watson,youtube,right_commentary,Paul Joseph Watson,False,2090000.0,46,0,True,True,,proposed
@RSBN,Right Side Broadcasting Network,youtube,right_tv_network,RSBN,False,2080000.0,1640,337,False,False,,proposed
@RealAlexClark,Real Alex Clark,youtube,right_commentary,Turning Point USA,False,822000.0,79,0,False,True,Culture Apothecary (TPUSA); wellness/culture,proposed
@RealAmericasVoice,Real America's Voice,youtube,right_tv_network,Real America's Voice,False,323000.0,2653,1543,False,False,,proposed
@RealDanBongino,Dan Bongino,youtube,right_commentary,Dan Bongino,False,1010000.0,266,0,False,True,,proposed
@RebelHQ,Rebel HQ,youtube,left_commentary,TYT Network,False,1530000.0,1292,0,False,True,TYT Network channel,proposed
@RebelNewsOnline,Rebel News,youtube,independent_digital_news,Rebel News,False,1970000.0,1358,195,False,False,"Canadian, right",proposed
@RedactedNews,Redacted,youtube,independent_digital_news,Redacted,False,2880000.0,452,140,False,False,populist; right-leaning,proposed
@RekietaLaw,Rekieta Law,youtube,legal_institutional,Rekieta Law,False,402000.0,18,106,True,False,,proposed
@RestPoliticsUS,The Rest Is Politics US,youtube,centrist_heterodox,The Rest Is Politics US,False,409000.0,220,5,False,True,,proposed
@Reuters,Reuters,youtube,wire_international,Reuters,False,4310000.0,8076,2008,False,False,,proposed
@RileyGaines,Riley Gaines,youtube,right_commentary,Riley Gaines,False,70300.0,143,0,False,True,,proposed
@RobertGouveiaEsq,Robert Gouveia Esq.,youtube,legal_institutional,Robert Gouveia,False,610000.0,696,385,False,False,right,proposed
@RonPlacone,Ron Placone,youtube,humour_satire,Ron Placone,False,25900.0,66,28,False,True,comedian,proposed
@RubinReport,The Rubin Report,youtube,right_commentary,Rubin Report,False,3230000.0,1047,114,False,False,,proposed
@RufoandLomez,Rufo & Lomez,youtube,right_commentary,Rufo & Lomez,False,16300.0,80,0,False,True,,proposed
@SMN,Some More News,youtube,humour_satire,Some More News,False,943000.0,197,8,False,True,,proposed
@SNEAKO,SNEAKO,youtube,streamer_reaction,SNEAKO,False,1330000.0,5,0,True,True,"main channel, 5 uploads",proposed
@SabbySabs,Sabby Sabs,youtube,left_commentary,Sabby Sabs,False,424000.0,626,103,False,False,,proposed
